movie,category,year
Ant-Man  ,Ant-Man,2015.0
Ant-Man  ,Ant-Man,2015.0
Ant-Man & The Wasp,Ant-Man,
Avengers: Age of Ultron,Avengers,2015.0
Avengers: End Game,Avengers,2019.0
Avengers: Infinity War,Avengers,2018.0
Black Panther,Black Panther,2018.0
Black Panther 2,,2022.0
Black Widow,Unique,2021.0
Captain America,Captain America,2011.0
Captain America: Civil War,Captain America,2016.0
Captain America: Winter Soldier,Captain America,2014.0
Captain Marvel,Unique,2019.0
Dr Strange,,2016.0
Dr Strange: Multiverse of Madness,Dr Strange,2022.0
Eternals,Unique,2021.0
Guardians of the Galaxy,Guardians,2014.0
Guardians of the Galaxy 2,Guardians,2017.0
Incredible Hulk,Unique,2008.0
Iron Man,Iron Man,2008.0
Iron Man 2,Iron Man,2010.0
Iron Man 3,Iron Man,2013.0
Shang-Chi,Unique,2021.0
Spider-Man: Far from Home,Spider-Man,2019.0
Spider-Man: Homecoming,Spider-Man,2017.0
Spider-Man: No Way Home,Spider-Man,2021.0
The Avengers,Avengers,2012.0
Thor: Dark World,Thor,2013.0
Thor: Love & Thunder,Thor,2022.0
Thor: Ragnarok,Thor,2017.0
Thor,Thor,2011.0
Ant-Man and the Wasp: Quantumania,Ant-Man,2023.0
Guardians of the Galaxy Vol. 3,Guardians,2023.0
The Marvels,Unique,2023.0
Spider-Man: Across the Spider-Verse,Spider-Man,2023.0
Deadpool,Deadpool,2016.0
Deadpool 2,Deadpool,2018.0
